subj,sess,trial,eeg_path,split,lens
sub-044,ses-varyingStories04,run-04_desc-preproc-audio-audiobook_10_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-04_desc-preproc-audio-audiobook_10_1_eeg.npy,test,39552
sub-044,ses-varyingStories04,run-05_desc-preproc-audio-audiobook_10_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-05_desc-preproc-audio-audiobook_10_2_eeg.npy,train,41856
sub-044,ses-varyingStories04,run-09_desc-preproc-audio-podcast_10,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-09_desc-preproc-audio-podcast_10_eeg.npy,train,53632
sub-044,ses-varyingStories04,run-08_desc-preproc-audio-podcast_15,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-08_desc-preproc-audio-podcast_15_eeg.npy,train,59136
sub-042,ses-varyingStories03,run-08_desc-preproc-audio-podcast_10,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-08_desc-preproc-audio-podcast_10_eeg.npy,test,53632
sub-042,ses-varyingStories03,run-07_desc-preproc-audio-podcast_12,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-07_desc-preproc-audio-podcast_12_eeg.npy,train,67520
sub-042,ses-varyingStories03,run-05_desc-preproc-audio-podcast_9,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-05_desc-preproc-audio-podcast_9_eeg.npy,train,76416
sub-042,ses-varyingStories03,run-03_desc-preproc-audio-audiobook_9_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-03_desc-preproc-audio-audiobook_9_2_eeg.npy,val,56512
sub-042,ses-varyingStories03,run-01_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-01_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-042,ses-varyingStories03,run-02_desc-preproc-audio-audiobook_9_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-02_desc-preproc-audio-audiobook_9_1_eeg.npy,train,41536
sub-042,ses-varyingStories03,run-09_desc-preproc-audio-podcast_11,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-042/ses-varyingStories03/sub-042_ses-varyingStories03_task-listeningActive_run-09_desc-preproc-audio-podcast_11_eeg.npy,train,57728
sub-017,ses-shortstories01,run-01_desc-preproc-audio-audiobook_5_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-017/ses-shortstories01/sub-017_ses-shortstories01_task-listeningActive_run-01_desc-preproc-audio-audiobook_5_1_eeg.npy,train,58176
sub-017,ses-shortstories01,run-04_desc-preproc-audio-audiobook_2_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-017/ses-shortstories01/sub-017_ses-shortstories01_task-listeningActive_run-04_desc-preproc-audio-audiobook_2_1_eeg.npy,train,50752
sub-017,ses-shortstories01,run-02_desc-preproc-audio-audiobook_5_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-017/ses-shortstories01/sub-017_ses-shortstories01_task-listeningActive_run-02_desc-preproc-audio-audiobook_5_2_eeg.npy,test,58368
sub-017,ses-shortstories01,run-05_desc-preproc-audio-audiobook_2_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-017/ses-shortstories01/sub-017_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_2_2_eeg.npy,val,50752
sub-067,ses-varyingStories08,run-02_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-02_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-067,ses-varyingStories08,run-08_desc-preproc-audio-podcast_28,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-08_desc-preproc-audio-podcast_28_eeg.npy,test,51840
sub-067,ses-varyingStories08,run-05_desc-preproc-audio-podcast_29,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-05_desc-preproc-audio-podcast_29_eeg.npy,val,57856
sub-067,ses-varyingStories08,run-03_desc-preproc-audio-audiobook_14_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-03_desc-preproc-audio-audiobook_14_1_eeg.npy,train,67520
sub-067,ses-varyingStories08,run-01_desc-preproc-audio-podcast_30,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-01_desc-preproc-audio-podcast_30_eeg.npy,train,62464
sub-067,ses-varyingStories08,run-04_desc-preproc-audio-audiobook_14_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-04_desc-preproc-audio-audiobook_14_2_eeg.npy,train,73664
sub-067,ses-varyingStories08,run-07_desc-preproc-audio-podcast_31,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-067/ses-varyingStories08/sub-067_ses-varyingStories08_task-listeningActive_run-07_desc-preproc-audio-podcast_31_eeg.npy,train,56960
sub-015,ses-shortstories01,run-07_desc-preproc-audio-audiobook_3,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-07_desc-preproc-audio-audiobook_3_eeg.npy,val,61760
sub-015,ses-shortstories01,run-10_desc-preproc-audio-audiobook_5_3,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-10_desc-preproc-audio-audiobook_5_3_eeg.npy,test,61120
sub-015,ses-shortstories01,run-01_desc-preproc-audio-audiobook_2_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-01_desc-preproc-audio-audiobook_2_1_eeg.npy,train,50752
sub-015,ses-shortstories01,run-02_desc-preproc-audio-audiobook_2_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-02_desc-preproc-audio-audiobook_2_2_eeg.npy,train,50752
sub-015,ses-shortstories01,run-04_desc-preproc-audio-audiobook_6_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-04_desc-preproc-audio-audiobook_6_2_eeg.npy,train,53440
sub-015,ses-shortstories01,run-03_desc-preproc-audio-audiobook_6_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-03_desc-preproc-audio-audiobook_6_1_eeg.npy,train,53440
sub-015,ses-shortstories01,run-06_desc-preproc-audio-audiobook_4,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-06_desc-preproc-audio-audiobook_4_eeg.npy,train,52224
sub-015,ses-shortstories01,run-08_desc-preproc-audio-audiobook_5_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-08_desc-preproc-audio-audiobook_5_1_eeg.npy,train,58176
sub-015,ses-shortstories01,run-05_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-015,ses-shortstories01,run-09_desc-preproc-audio-audiobook_5_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-015/ses-shortstories01/sub-015_ses-shortstories01_task-listeningActive_run-09_desc-preproc-audio-audiobook_5_2_eeg.npy,train,58368
sub-065,ses-varyingStories08,run-04_desc-preproc-audio-audiobook_14_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-04_desc-preproc-audio-audiobook_14_2_eeg.npy,val,73664
sub-065,ses-varyingStories08,run-08_desc-preproc-audio-podcast_31,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-08_desc-preproc-audio-podcast_31_eeg.npy,train,56960
sub-065,ses-varyingStories08,run-03_desc-preproc-audio-audiobook_14_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-03_desc-preproc-audio-audiobook_14_1_eeg.npy,train,67520
sub-065,ses-varyingStories08,run-01_desc-preproc-audio-podcast_30,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-01_desc-preproc-audio-podcast_30_eeg.npy,train,62464
sub-065,ses-varyingStories08,run-02_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-02_desc-preproc-audio-audiobook_1_eeg.npy,test,60096
sub-065,ses-varyingStories08,run-05_desc-preproc-audio-podcast_29,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-05_desc-preproc-audio-podcast_29_eeg.npy,train,57856
sub-065,ses-varyingStories08,run-09_desc-preproc-audio-podcast_28,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-065/ses-varyingStories08/sub-065_ses-varyingStories08_task-listeningActive_run-09_desc-preproc-audio-podcast_28_eeg.npy,train,51840
sub-013,ses-shortstories01,run-02_desc-preproc-audio-audiobook_4,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-02_desc-preproc-audio-audiobook_4_eeg.npy,train,52224
sub-013,ses-shortstories01,run-05_desc-preproc-audio-audiobook_2_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_2_2_eeg.npy,train,50752
sub-013,ses-shortstories01,run-09_desc-preproc-audio-audiobook_6_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-09_desc-preproc-audio-audiobook_6_1_eeg.npy,val,53440
sub-013,ses-shortstories01,run-06_desc-preproc-audio-audiobook_5_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-06_desc-preproc-audio-audiobook_5_1_eeg.npy,train,58176
sub-013,ses-shortstories01,run-04_desc-preproc-audio-audiobook_2_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-04_desc-preproc-audio-audiobook_2_1_eeg.npy,train,50752
sub-013,ses-shortstories01,run-01_desc-preproc-audio-audiobook_3,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-01_desc-preproc-audio-audiobook_3_eeg.npy,train,61760
sub-013,ses-shortstories01,run-03_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-03_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-013,ses-shortstories01,run-10_desc-preproc-audio-audiobook_6_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-10_desc-preproc-audio-audiobook_6_2_eeg.npy,test,53440
sub-013,ses-shortstories01,run-07_desc-preproc-audio-audiobook_5_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-07_desc-preproc-audio-audiobook_5_2_eeg.npy,train,58368
sub-013,ses-shortstories01,run-08_desc-preproc-audio-audiobook_5_3,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-013/ses-shortstories01/sub-013_ses-shortstories01_task-listeningActive_run-08_desc-preproc-audio-audiobook_5_3_eeg.npy,train,61120
sub-063,ses-varyingStories08,run-02_desc-preproc-audio-audiobook_14_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-02_desc-preproc-audio-audiobook_14_1_eeg.npy,train,67520
sub-063,ses-varyingStories08,run-05_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-05_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-063,ses-varyingStories08,run-06_desc-preproc-audio-podcast_30,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-06_desc-preproc-audio-podcast_30_eeg.npy,train,62464
sub-063,ses-varyingStories08,run-08_desc-preproc-audio-podcast_31,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-08_desc-preproc-audio-podcast_31_eeg.npy,val,56960
sub-063,ses-varyingStories08,run-04_desc-preproc-audio-podcast_28,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-04_desc-preproc-audio-podcast_28_eeg.npy,test,51840
sub-063,ses-varyingStories08,run-09_desc-preproc-audio-podcast_29,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-09_desc-preproc-audio-podcast_29_eeg.npy,train,57856
sub-063,ses-varyingStories08,run-03_desc-preproc-audio-audiobook_14_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-063/ses-varyingStories08/sub-063_ses-varyingStories08_task-listeningActive_run-03_desc-preproc-audio-audiobook_14_2_eeg.npy,train,73664
sub-038,ses-varyingStories03,run-07_desc-preproc-audio-podcast_12,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-07_desc-preproc-audio-podcast_12_eeg.npy,train,67520
sub-038,ses-varyingStories03,run-04_desc-preproc-audio-audiobook_9_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-04_desc-preproc-audio-audiobook_9_2_eeg.npy,train,56512
sub-038,ses-varyingStories03,run-08_desc-preproc-audio-podcast_10,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-08_desc-preproc-audio-podcast_10_eeg.npy,test,53632
sub-038,ses-varyingStories03,run-05_desc-preproc-audio-podcast_11,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-05_desc-preproc-audio-podcast_11_eeg.npy,train,57728
sub-038,ses-varyingStories03,run-06_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-06_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-038,ses-varyingStories03,run-09_desc-preproc-audio-podcast_9,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-09_desc-preproc-audio-podcast_9_eeg.npy,train,76416
sub-038,ses-varyingStories03,run-03_desc-preproc-audio-audiobook_9_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-038/ses-varyingStories03/sub-038_ses-varyingStories03_task-listeningActive_run-03_desc-preproc-audio-audiobook_9_1_eeg.npy,val,41536
sub-036,ses-varyingStories02,run-03_desc-preproc-audio-audiobook_8_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-03_desc-preproc-audio-audiobook_8_2_eeg.npy,train,50048
sub-036,ses-varyingStories02,run-04_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-04_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
sub-036,ses-varyingStories02,run-01_desc-preproc-audio-podcast_10,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-01_desc-preproc-audio-podcast_10_eeg.npy,train,53632
sub-036,ses-varyingStories02,run-06_desc-preproc-audio-podcast_8,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-06_desc-preproc-audio-podcast_8_eeg.npy,test,65024
sub-036,ses-varyingStories02,run-09_desc-preproc-audio-podcast_7,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-09_desc-preproc-audio-podcast_7_eeg.npy,val,63232
sub-036,ses-varyingStories02,run-05_desc-preproc-audio-podcast_6,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-05_desc-preproc-audio-podcast_6_eeg.npy,train,54208
sub-036,ses-varyingStories02,run-02_desc-preproc-audio-audiobook_8_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-02_desc-preproc-audio-audiobook_8_1_eeg.npy,train,48000
sub-036,ses-varyingStories02,run-07_desc-preproc-audio-podcast_5,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-036/ses-varyingStories02/sub-036_ses-varyingStories02_task-listeningActive_run-07_desc-preproc-audio-podcast_5_eeg.npy,train,63872
sub-034,ses-varyingStories02,run-08_desc-preproc-audio-podcast_6,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-08_desc-preproc-audio-podcast_6_eeg.npy,test,54208
sub-034,ses-varyingStories02,run-09_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-09_desc-preproc-audio-audiobook_1_eeg.npy,val,60096
sub-034,ses-varyingStories02,run-02_desc-preproc-audio-podcast_10,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-02_desc-preproc-audio-podcast_10_eeg.npy,train,53632
sub-034,ses-varyingStories02,run-06_desc-preproc-audio-podcast_8,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-06_desc-preproc-audio-podcast_8_eeg.npy,train,65024
sub-034,ses-varyingStories02,run-07_desc-preproc-audio-podcast_5,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-07_desc-preproc-audio-podcast_5_eeg.npy,train,63872
sub-034,ses-varyingStories02,run-01_desc-preproc-audio-podcast_7,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-01_desc-preproc-audio-podcast_7_eeg.npy,train,63232
sub-034,ses-varyingStories02,run-03_desc-preproc-audio-audiobook_8_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-03_desc-preproc-audio-audiobook_8_1_eeg.npy,train,48000
sub-034,ses-varyingStories02,run-04_desc-preproc-audio-audiobook_8_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-034/ses-varyingStories02/sub-034_ses-varyingStories02_task-listeningActive_run-04_desc-preproc-audio-audiobook_8_2_eeg.npy,train,50048
sub-084,ses-varyingStories10,run-02_desc-preproc-audio-audiobook_14_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-084/ses-varyingStories10/sub-084_ses-varyingStories10_task-listeningActive_run-02_desc-preproc-audio-audiobook_14_2_eeg.npy,train,73664
sub-084,ses-varyingStories10,run-03_desc-preproc-audio-podcast_36,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-084/ses-varyingStories10/sub-084_ses-varyingStories10_task-listeningActive_run-03_desc-preproc-audio-podcast_36_eeg.npy,train,59264
sub-084,ses-varyingStories10,run-06_desc-preproc-audio-podcast_35,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-084/ses-varyingStories10/sub-084_ses-varyingStories10_task-listeningActive_run-06_desc-preproc-audio-podcast_35_eeg.npy,test,60096
sub-084,ses-varyingStories10,run-07_desc-preproc-audio-podcast_37,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-084/ses-varyingStories10/sub-084_ses-varyingStories10_task-listeningActive_run-07_desc-preproc-audio-podcast_37_eeg.npy,train,54848
